,Grand Prix,Circuit,Date,Winner,Team,Laps,Race Time
0,Bahrain,Bahrain International Circuit,20 March 2022,Charles Leclerc,Ferrari,57,1:37:33.584
1,Saudi Arabia,Jeddah Corniche Circuit,27 March 2022,Max Verstappen,Red Bull RBPT,50,1:24:19.293
2,Australia,Albert Park Circuit,10 April 2022,Charles Leclerc,Ferrari,58,1:27:46.548
3,Emilia Romagna,Autodromo Enzo e Dino Ferrari,24 April 2022,Max Verstappen,Red Bull RBPT,63,1:32:07.986
4,Miami,Miami International Autodrome,8 May 2022,Max Verstappen,Red Bull RBPT,57,1:34:24.258
5,Spain,Circuit de Barcelona-Catalunya,22 May 2022,Max Verstappen,Red Bull RBPT,66,1:37:20.475
6,Monaco,Circuit de Monaco,29 May 2022,Sergio Pérez,Red Bull RBPT,64,1:56:30.265
7,Azerbaijan,Baku City Circuit,12 June 2022,Max Verstappen,Red Bull RBPT,51,1:34:05.941
8,Canada,Circuit Gilles-Villeneuve,19 June 2022,Max Verstappen,Red Bull RBPT,70,1:36:21.757
9,Great Britain,Silverstone Circuit,3 July 2022,Carlos Sainz,Ferrari,52,2:17:50.311
10,Austria,Red Bull Ring,10 July 2022,Charles Leclerc,Ferrari,71,1:24:24.312
11,France,Circuit Paul Ricard,24 July 2022,Max Verstappen,Red Bull RBPT,53,1:30:02.112
12,Hungary,Hungaroring,31 July 2022,Max Verstappen,Red Bull RBPT,70,1:39:35.912
13,Belgium,Circuit de Spa-Francorchamps,28 August 2022,Max Verstappen,Red Bull RBPT,44,1:25:52.894
14,Netherlands,Circuit Zandvoort,4 September 2022,Max Verstappen,Red Bull RBPT,72,1:36:42.773
15,Italy,Autodromo Nazionale Monza,11 September 2022,Max Verstappen,Red Bull RBPT,53,1:20:27.511
16,Singapore,Marina Bay Street Circuit,2 October 2022,Sergio Pérez,Red Bull RBPT,59,2:02:20.238
17,Japan,Suzuka International Racing Course,9 October 2022,Max Verstappen,Red Bull RBPT,28,3:01:44.004
18,United States,Circuit of The Americas,23 October 2022,Max Verstappen,Red Bull RBPT,56,1:42:11.687
19,Mexico,Autódromo Hermanos Rodríguez,30 October 2022,Max Verstappen,Red Bull RBPT,71,1:38:36.729
20,São Paulo,Autódromo José Carlos Pace,13 November 2022,George Russell,Mercedes,71,1:38:34.044
21,Abu Dhabi,Yas Marina Circuit,20 November 2022,Max Verstappen,Red Bull RBPT,58,1:27:45.914
22,Bahrain,Bahrain International Circuit,28 March 2021,Lewis Hamilton,Mercedes,56,1:32:03.897
23,Emilia Romagna,Autodromo Enzo e Dino Ferrari,18 April 2021,Max Verstappen,Red Bull Honda,63,2:02:34.598
24,Portugal,Autódromo Internacional do Algarve,2 May 2021,Lewis Hamilton,Mercedes,66,1:34:31.421
25,Spain,Circuit de Barcelona-Catalunya,9 May 2021,Lewis Hamilton,Mercedes,66,1:33:07.680
26,Monaco,Circuit de Monaco,23 May 2021,Max Verstappen,Red Bull Honda,78,1:38:56.820
27,Azerbaijan,Baku City Circuit,6 June 2021,Sergio Pérez,Red Bull Honda,51,2:13:36.410
28,France,Circuit Paul Ricard,20 June 2021,Max Verstappen,Red Bull Honda,53,1:27:25.770
29,Styria,Red Bull Ring,27 June 2021,Max Verstappen,Red Bull Honda,71,1:22:18.925
30,Austria,Red Bull Ring,4 July 2021,Max Verstappen,Red Bull Honda,71,1:23:54.543
31,Great Britain,Silverstone Circuit,18 July 2021,Lewis Hamilton,Mercedes,52,1:58:23.284
32,Hungary,Hungaroring,1 August 2021,Esteban Ocon,Alpine Renault,70,2:04:43.199
33,Belgium,Circuit de Spa-Francorchamps,29 August 2021,Max Verstappen,Red Bull Honda,1,0:03:27.071
34,Netherlands,Circuit Park Zandvoort,5 September 2021,Max Verstappen,Red Bull Honda,72,1:30:05.395
35,Italy,Autodromo Nazionale Monza,12 September 2021,Daniel Ricciardo,McLaren Mercedes,53,1:21:54.365
36,Russia,Sochi Autodrom,26 September 2021,Lewis Hamilton,Mercedes,53,1:30:41.001
37,Turkey,Intercity Istanbul Park,10 October 2021,Valtteri Bottas,Mercedes,58,1:31:04.103
38,United States,Circuit of The Americas,24 October 2021,Max Verstappen,Red Bull Honda,56,1:34:36.552
39,Mexico,Autódromo Hermanos Rodríguez,7 November 2021,Max Verstappen,Red Bull Honda,71,1:38:39.086
40,São Paulo,Autódromo José Carlos Pace,14 November 2021,Lewis Hamilton,Mercedes,71,1:32:22.851
41,Qatar,Losail International Circuit,21 November 2021,Lewis Hamilton,Mercedes,57,1:24:28.471
42,Saudi Arabia,Jeddah Street Circuit,5 December 2021,Lewis Hamilton,Mercedes,50,2:06:15.118
43,Abu Dhabi,Yas Marina Circuit,12 December 2021,Max Verstappen,Red Bull Honda,58,1:30:17.345
44,Austria,Red Bull Ring,5 July 2020,Valtteri Bottas,Mercedes,71,1:30:55.739
45,Styria,Red Bull Ring,12 July 2020,Lewis Hamilton,Mercedes,71,1:22:50.683
46,Hungary,Hungaroring,19 July 2020,Lewis Hamilton,Mercedes,70,1:36:12.473
